,theta,phi,xoff,yoff,zpush,xshear,yshear,Bx00,Bz00,Bx01,Bz01,Bx10,Bz10,Bx11,Bz11,Temp0,Temp1,Fx,Fy,Fz,Tx,Ty,Tz,X,Y,Z,U,V,W
45,0.0355,0.0,0.0,0.0,0.7250000000000001,-0.6,0.6,16.106433546754147,15.268099761823308,-9.504775313852548,33.16541553958345,-4.860598473251859,12.687942931518032,10.099632000161687,5.952877418789283,745.0,745.0,0.4921,-0.493,-4.6069,18.8919,16.779500000000002,-0.0276,1.86616361434,0.555840728197,0.768184769045,-1.95184876092e-05,-2.03399672799,1.19310729097e-06
46,0.0355,0.0,0.0,0.0,0.3625,-0.6,0.6,10.55084333469952,17.24013882067616,-9.922899216548103,22.59162241265361,-6.155020586772014,10.442250875511588,7.784863590393516,10.358265342035226,745.0,745.0,0.4493,0.0545999999999999,-2.0106,-3.4218,20.9557,-0.2711,2.06375475799e-05,-5.3642805523e-06,0.362502803364,-4.4661106566e-06,-2.03400767668,2.40192327604e-05
47,0.001,1.0471975511965976,0.0,0.0,0.7250000000000001,-0.6,-0.6,12.323072268646579,31.135629898364,-17.716383918337403,22.05280295041707,-9.008830414230879,7.1757897031385784,7.2331124610633,13.595492671152353,745.0,746.0,0.5291,0.4395,-4.672599999999999,-23.5834,18.3869,-0.7563000000000001,-0.564663469892,-0.538810473086,0.725033996649,0.0496248785379,-0.0286553969365,1.80204176746e-05
48,0.001,1.0471975511965976,0.0,0.0,0.3625,-0.6,-0.6,9.530074218332956,14.39501638995233,-8.754738622419286,19.587165091222666,-7.844719251736243,14.994446764669718,9.69443976455981,14.83693271214534,745.0,745.0,-0.0263999999999999,-0.1258,-2.2568999999999995,3.5604,-4.1593,0.2004,9.25372639255e-05,0.000151126328397,0.362454631391,0.049743101547,-0.0285768910425,0.000123507777246
49,0.001,5.235987755982988,0.0,0.0,0.175,-0.6,0.6,8.413099683346351,12.528485906159737,-6.828182655125327,18.5674872199307,-5.869200604687444,13.392369722973939,8.172279177774604,12.053788687091902,744.0,746.0,0.263,-0.2337,-1.1479,9.805,9.4544,-0.101,-0.565025665706,0.539191200084,0.175018301655,-0.0495860032465,-0.0286249951607,-4.79636664239e-05
50,0.0355,0.0,0.0,0.0,0.45,0.0,0.6,11.059056043699044,11.480394785348222,-6.2244424277564985,24.94518582370281,-5.555590212054626,17.72228933947058,10.815184246011812,10.547929792742488,745.0,745.0,0.0882999999999999,-0.5494,-2.9558,21.9556,0.2911999999999999,0.3494999999999999,2.4562672341,0.555914161635,0.493538279117,-3.18182212247e-06,-2.03400211426,7.76841144559e-06
51,0.001,0.0,0.0,0.0,-0.1,-0.6,0.6,6.832637532104712,11.528175467390913,-6.198579093569145,15.0826343869252,-5.937835668396149,12.796535390705964,7.302081352229577,13.151505434269444,745.0,745.0,0.0212999999999999,-0.0013,-0.0841,0.0203,-0.0943,-0.105,-0.530123063979,0.599941723152,-0.0999737494577,-1.46291141981e-05,-0.0572876607131,1.21698291196e-05
52,0.0355,5.235987755982988,0.0,0.0,-0.1,0.6,-0.6,6.815565790946219,11.508321599871609,-6.199214410552269,15.047849851326667,-5.942999724716799,12.7498832662478,7.2848308326920685,13.152329114257176,744.0,745.0,0.0203999999999999,0.0002,-0.0865,-0.0204999999999999,-0.1141,-0.1183,1.79637026604,-2.79269881476,-0.0557663511894,-1.76140929931,-1.01684117402,4.02732511825e-07
53,0.0355,5.235987755982988,0.0,0.0,-0.05,0.6,-0.6,6.924093908636445,11.651578715222708,-6.199214410552269,15.164165896555932,-5.903929602348317,12.849729134522807,7.340834854469121,13.104941095830439,744.0,745.0,0.0316,-0.0195,-0.1687999999999999,1.0318,0.4298,-0.1089,-5.88714729555e-06,-1.19728170714e-05,-0.0500028940158,-1.76140276843,-1.01684403145,1.78634894167e-06
54,0.001,5.235987755982988,0.0,0.0,1.0,0.6,0.0,13.804273411969978,11.98426379598023,-12.28508373899309,19.759587319138358,-18.30000122235038,31.391908102047523,22.94939853557867,28.009990924904244,745.0,746.0,-0.4165,-0.1062999999999999,-7.6591,-1.7795,-26.717,0.0447999999999999,0.635469812437,-0.0615314925519,1.00003246332,-0.0496232295299,-0.0286448817094,-1.49656118663e-05
55,0.001,1.0471975511965976,0.0,0.0,1.0,0.0,0.6,16.988204315360157,9.725540644871234,-7.1770752369907,33.16541553958345,-7.058509847215611,30.171328860775162,17.237912235871356,9.069409188365425,745.0,746.0,-0.0347,-0.6061,-7.476299999999999,21.7066,-9.9472,0.4046,0.0353724434472,0.661489899239,1.00003715763,0.0496191070602,-0.0286481496358,1.9417568863e-05
56,0.001,1.0471975511965976,0.0,0.0,0.5,0.0,0.6,10.893995505733388,15.902279723480834,-10.284985895171056,21.12172291967233,-9.0392363028035,16.03693437287387,11.039333142302212,16.3154533165224,745.0,746.0,0.0677,0.0917999999999999,-3.0677,-6.442399999999999,-0.8465999999999999,-0.282,5.23510914603e-05,4.06728602088e-05,0.499980666339,0.0496040995189,-0.0286870283898,-7.81586421586e-05
57,0.0355,5.235987755982988,0.0,0.0,0.7250000000000001,0.6,0.6,11.445645198408084,7.114977925993337,-4.470046258714328,22.651970192424102,-7.258319972121408,30.471044048133855,17.03962667376831,13.34979099637249,745.0,746.0,-0.4431,-0.4742,-4.722,18.1481,-24.9073,0.4653,1.81097654209,-1.61793526453,0.768183779208,-1.76137870882,-1.01683272225,4.68412551003e-05
58,0.0355,5.235987755982988,0.0,0.0,0.3625,0.6,0.6,11.085118233904149,10.781059348177937,-5.319225731199113,24.932254156609133,-4.482696715277853,16.701520223104016,10.418613121805718,9.267694750468472,745.0,746.0,0.3342,-0.4088,-2.0849,20.4805,13.228799999999998,0.1496,1.97086722468e-07,-4.98222265092e-07,0.362501131464,-1.76140476508,-1.01683960888,-7.56512405251e-06
59,0.001,1.0471975511965976,0.0,0.0,0.45,-0.6,0.0,11.771422575971881,18.03503562193183,-10.828115913105488,24.79431637427658,-6.454735774130707,11.00258796492132,8.418515277983685,10.478960901576212,745.0,745.0,0.6309000000000001,-0.004,-2.8892,-1.5607,23.3653,-0.4410999999999999,-0.564837642421,0.0610158814545,0.450038610865,0.0496159853655,-0.0286522107444,8.49364692384e-06
60,0.0355,4.188790204786391,0.0,0.0,0.7250000000000001,-0.6,-0.6,12.709661423355618,30.136579273835025,-17.117216676330372,22.59162241265361,-8.826395082795152,7.888156235411416,7.702963032133562,13.526523779986075,745.0,746.0,0.5589000000000001,0.4739999999999999,-4.4722,-24.261900000000004,19.5415,-0.8039999999999999,-1.89915440979,-2.81801166128,0.76819997005,-1.76138694652,1.01682060235,1.5687308498e-05
61,0.0355,5.235987755982988,0.0,0.0,0.7250000000000001,0.0,0.0,13.700024651149564,18.4042499831708,-12.535095969470843,25.216750832670026,-10.13384829141786,17.009922807197746,12.970462094957968,16.2594160924498,745.0,746.0,-0.0246999999999999,0.0939999999999999,-5.0646,-7.5907,-6.1075,-0.2475,1.21099736248,-2.21805478897,0.768199541869,-1.76143286411,-1.01685807567,-4.66390930035e-05
62,0.0355,3.141592653589793,0.0,0.0,-0.1,-0.6,0.0,6.889105610882437,11.749704084134295,-6.267547984735422,15.069702719831524,-5.937835668396149,12.757442105398308,7.2934602408337925,13.194610991248368,745.0,746.0,0.0296,-0.0044,-0.0895,-0.0027,-0.0812,-0.1085,-3.12505595953,-0.0440868797868,-0.0557672632905,-1.16149211104e-06,2.03400198486,-1.28277700396e-06
63,0.0355,3.141592653589793,0.0,0.0,-0.05,-0.6,0.0,6.850012325574782,11.623736831476293,-6.258926873339638,15.069702719831524,-5.9986474455413905,12.735723613560722,7.306391907927469,13.246337659623075,745.0,746.0,0.0209999999999999,-0.0021,-0.1303,0.013,-0.5104,-0.1478,-4.79285534748e-06,-6.48392417686e-06,-0.0500027402546,-2.35809595989e-06,2.03401158741,-1.52325466707e-05
64,0.0355,1.0471975511965976,0.0,0.0,-0.1,0.0,0.6,6.828293833737195,11.610705736373742,-6.2459952062459605,15.048149941342063,-5.96824155696877,12.700974026620584,7.280528573740115,13.190300435550476,745.0,745.0,0.0222999999999999,-0.0072999999999999,-0.0883999999999999,0.0321,-0.1331999999999999,-0.1042,1.19633156311,2.70443918989,-0.0557664371753,1.76140719766,-1.01684246885,-8.04703900487e-06
65,0.0355,3.141592653589793,0.0,0.0,-0.1,-0.6,0.6,6.823950135369677,11.606362038006225,-6.241684650548068,15.0265971628526,-5.972585255336287,12.7053177249881,7.267596906646438,13.185989879852583,745.0,745.0,0.0298,-0.0018,-0.0893999999999999,0.0066,-0.1049999999999999,-0.1093,-3.12500934341,0.555880754754,-0.0557706494358,-1.35054715539e-06,2.03400439249,-3.74366870107e-06
